dfsNombre_indice;dfdFechaComparacion;sSucursal;sTipo_factura;sTipo_nota;sNumero_factura;sNumero_nota;sCliente;sNombre_cliente;dFecha_emision_factura;dFecha_nota; nSaldo_factura ; nSaldo_nota ;sMoneda;sCodigo_indice;nNeto_factura;dFecha_calculo_punitorios;dVencimiento_nota;nIntereses_punitorios;dFec_vencim_origen;dFec_venc_1;dFec_venc_2;dFec_venc_3;dFec_venc_4;nInt_venc_1;nInt_venc_2;nInt_venc_3;nInt_venc_4;sNombre_sucursal;dfdFechaEmisionDesde;dfdFechaEmisionHasta;dfdFechaVencDesde;dfdFechaVencHasta;swEsNota;swEsFactura;nwSaldoNoVencido;nwSaldoVencido;nSaldoVencido30;nSaldoVencido60;nSaldoVencido90;nSaldoVencido120;nSaldoVencido150;nSaldoVencido180;nSaldoVencido210;nSaldoVencido240;nSaldoVencidoMasQue240;nwPunitorios;nwTotalDeudaVencida;nwDiasEnLaCalle;dwFechaVencimiento;nwSaldoXDias;sDetallado;sResumido;sClienteMoneda;sSub_business_area;sDomicilio_legal;sTelefono_legal;nSaldoVencido30Ocultado;nSaldoVencido60Ocultado;nSaldoVencido90Ocultado;nSaldoVencido120Ocultado;nSaldoVencido150Ocultado;nSaldoVencido180Ocultado;nSaldoVencido210Ocultado;nSaldoVencido240Ocultado;nSaldoVencidoMasQue240Ocultado;nwSaldoNoVencidoOcultado;nwPunitoriosOcultado;sEstado_cliente;sSaltoPag;sBreak_estado;sBreak_sucursal;sBreak_SBA;sBreak_moneda
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;33723;;110000001;ACERIA DEL ECUADOR CA ADELCA;22/07/2017 17:22;; 359.51 ;;D;;370.94;20/09/2017 17:22;;0;20/09/2017 17:22;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;359.51;0;0;831.28;20/09/2017 17:22;298,851.79;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;34353;;110000001;ACERIA DEL ECUADOR CA ADELCA;08/08/2017 15:29;; 580.94 ;;D;;580.94;07/10/2017 15:29;;0;07/10/2017 15:29;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;580.94;0;0;814.35;07/10/2017 15:29;473,090.57;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;34862;;110000001;ACERIA DEL ECUADOR CA ADELCA;24/08/2017 10:20;; 580.94 ;;D;;580.94;23/10/2017 10:20;;0;23/10/2017 10:20;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;580.94;0;0;798.57;23/10/2017 10:20;463,920.22;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;35175;;110000001;ACERIA DEL ECUADOR CA ADELCA;01/09/2017 14:21;; 74.48 ;;D;;74.48;31/10/2017 14:21;;0;31/10/2017 14:21;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;74.48;0;0;790.4;31/10/2017 14:21;58,869.06;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;39549;;110000001;ACERIA DEL ECUADOR CA ADELCA;23/01/2018 12:24;; 27.96 ;;D;;27.96;24/03/2018 12:24;;0;24/03/2018 12:24;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;27.96;0;0;646.48;24/03/2018 12:24;18,075.65;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;46107;;110000001;ACERIA DEL ECUADOR CA ADELCA;05/09/2018 09:42;; 387.30 ;;D;;387.3;04/11/2018 09:42;;0;04/11/2018 09:42;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;387.3;0;0;421.59;04/11/2018 09:42;163,283.57;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;47490;;110000001;ACERIA DEL ECUADOR CA ADELCA;24/10/2018 11:12;; 18.59 ;;D;;18.59;23/12/2018 11:12;;0;23/12/2018 11:12;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;18.59;0;0;372.53;23/12/2018 11:12;6,925.37;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;48563;;110000001;ACERIA DEL ECUADOR CA ADELCA;03/12/2018 19:44;; 1.26 ;;D;;1.26;01/02/2019 19:44;;0;01/02/2019 19:44;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;1.26;0;0;332.18;01/02/2019 19:44;418.54;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;48991;;110000001;ACERIA DEL ECUADOR CA ADELCA;17/12/2018 15:56;; 69.89 ;;D;;69.89;15/02/2019 15:56;;0;15/02/2019 15:56;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;0;0;0;0;0;69.89;0;0;318.33;15/02/2019 15:56;22,248.42;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
NO SE COBRAN PUNITORIOS;31/10/2019 23:59;110;FAC03;;53616;;110000001;ACERIA DEL ECUADOR CA ADELCA;03/06/2019 14:52;; 2,100.00 ;;D;;2,100.00;03/07/2019 14:52;;0;03/07/2019 14:52;;;;;;;;;QUITO SUR;;;;;;1;0;0;0;0;0;2,100.00;0;0;0;0;0;0;0;150.38;03/07/2019 14:52;315,797.57;SI;;110000001D;GA;DEL ESTABLO 50 Y DEL CHARRO;23968100;0;0;0;0;0;0;0;0;0;0;0;ACTIVO;;ACTIVO;110;GA;
